billboard_song,billboard_artist,spotify_title,spotify_artist,release_date,album,track_popularity,artist_genres,artist_followers,artist_popularity
Rather Lie,Playboi Carti & The Weeknd,RATHER LIE (with The Weeknd),Playboi Carti,2025-03-14,MUSIC,89,rage rap,14208808,92
Twilight Zone,Ariana Grande,twilight zone,Ariana Grande,2025-03-28,eternal sunshine deluxe: brighter days ahead,83,pop,105318787,94
Hands Of Time,Eric Church,Hands Of Time,Eric Church,2025-03-20,Hands Of Time,67,"country, acoustic country",4058518,76
Texas,Blake Shelton,Texas,Blake Shelton,2024-11-15,Texas,74,country,7440904,74
Denial Is A River,Doechii,DENIAL IS A RIVER,Doechii,2024-08-30,Alligator Bites Never Heal,90,Unknown,2903106,86
House Again,Hudson Westbrook,House Again,Hudson Westbrook,2024-10-18,House Again,82,country,205588,72
Smile,Morgan Wallen,Smile,Morgan Wallen,2025-05-16,I’m The Problem,42,country,12601750,93
Priceless,Maroon 5 & LISA,Priceless (feat. LISA),Maroon 5,2025-05-02,Priceless (feat. LISA),86,pop,44886412,88
Amen,Shaboozey & Jelly Roll,Amen,Shaboozey,2025-04-24,"Where I've Been, Isn't Where I'm Going: The Complete Edition",75,Unknown,1175843,81
Thought It Was Love,Ty Myers,Thought It Was Love,Ty Myers,2025-01-24,The Select,79,country,215357,71
EOO,Bad Bunny,EoO,Bad Bunny,2025-01-05,DeBÍ TiRAR MáS FOToS,94,"reggaeton, trap latino, urbano latino, latin",95608573,100
Whim Whamiee,PLUTO & YKNIECE,WHIM WHAMIEE,PLUTO,2025-02-03,WHIM WHAMIEE,78,Unknown,28863,61
Feel It,d4vd,Feel It (From “Invincible”),d4vd,2024-03-28,Feel It (From “Invincible”),91,Unknown,3966990,84
Whiskey Drink,Jason Aldean,Whiskey Drink,Jason Aldean,2023-11-03,Highway Desperado,65,"country, acoustic country",6870824,78
Are You Even Real,Teddy Swims & GIVEON,Are You Even Real (feat. Givēon),Teddy Swims,2025-01-24,I've Tried Everything But Therapy (Part 2),80,Unknown,4743024,87
Loco,Neton Vega,Loco,Neton Vega,2024-12-20,Loco,86,"corrido, corridos tumbados, corridos bélicos, electro corridos",2335070,90
Busy Woman,Sabrina Carpenter,Busy Woman,Sabrina Carpenter,2025-02-14,Short n' Sweet (Deluxe),91,Unknown,22486575,91
The Largest,BigXthaPlug,The Largest,BigXthaPlug,2024-10-11,TAKE CARE,80,southern hip hop,1602078,83
Old Phone,Ed Sheeran,Old Phone,Ed Sheeran,2025-05-01,Old Phone,84,soft pop,120437873,90
Fix What You Didn't Break,Nate Smith,Fix What You Didn't Break,Nate Smith,2024-10-04,California Gold,66,country,504941,72
My World,Chuckyy,My World,Chuckyy,2025-04-24,My World,76,Unknown,186985,66
Gnarly,KATSEYE,Gnarly,KATSEYE,2025-04-30,Gnarly,87,k-pop,1568126,74
Morena,Neton Vega & Peso Pluma,Morena,Neton Vega,2025-02-14,Mi Vida Mi Muerte,93,"corrido, corridos tumbados, corridos bélicos, electro corridos",2335070,90
Holy Smokes,Bailey Zimmerman,Holy Smokes,Bailey Zimmerman,2024-02-23,Holy Smokes,78,country,1737270,79
Me Prometi,Ivan Cornejo,Me Prometí,Ivan Cornejo,2025-05-01,Me Prometí,81,"sad sierreño, corridos tumbados, corrido, música mexicana, sierreño",4368708,81
BMF,SZA,BMF,SZA,2024-12-20,SOS Deluxe: LANA,88,r&b,29866202,93
Steve's Lava Chicken,Jack Black,Steve's Lava Chicken,Jack Black,2025-03-28,A Minecraft Movie (Original Motion Picture Soundtrack),84,Unknown,430186,70
The Days,CHRYSTAL,The Days - NOTION Remix,Chrystal,2024-11-08,The Days (NOTION Remix),92,Unknown,48186,74
Die Trying,"PARTYNEXTDOOR, Drake & Yebba",DIE TRYING,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,88,r&b,9047142,87
Damocles,Sleep Token,Damocles,Sleep Token,2025-04-25,Damocles,83,"progressive metal, metalcore",2341084,86
The Giver,Chappell Roan,The Giver,Chappell Roan,2025-03-13,The Giver,87,Unknown,6191414,86
No Pole,Don Toliver,No Pole,Don Toliver,2023-02-28,Love Sick (Deluxe),90,Unknown,6684755,87
End Of The World,Miley Cyrus,End of the World,Miley Cyrus,2025-04-04,End of the World,86,Unknown,25953210,85
Caramel,Sleep Token,Caramel,Sleep Token,2025-04-04,Caramel,85,"progressive metal, metalcore",2341084,86
"3,2,1",Tucker Wetmore,"3,2,1",Tucker Wetmore,2025-02-21,"3,2,1",74,country,393232,74
Ribs,Lorde,Ribs,Lorde,2013-09-27,Pure Heroine,88,Unknown,10338647,83
Gimme A Hug,Drake,GIMME A HUG,Drake,2025-02-14,$ome $exy $ongs 4 U,80,rap,98624704,97
Ojos Tristes,"Selena Gomez, benny blanco & The Marias",Ojos Tristes (with The Marías),Selena Gomez,2025-03-21,I Said I Love You First,85,pop,52551780,87
Headphones On,Addison Rae,Headphones On,Addison Rae,2025-04-18,Headphones On,84,Unknown,894047,74
Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams",Call Me When You Break Up (with Gracie Abrams),Selena Gomez,2025-02-20,Call Me When You Break Up (with Gracie Abrams),79,pop,52551780,87
Forever To Me,Cole Swindell,Forever To Me,Cole Swindell,2024-04-12,Forever To Me,69,"country, acoustic country",2497557,68
Chest Pain (I Love),Malcolm Todd,Chest Pain (I Love),Malcolm Todd,2024-12-04,Chest Pain (I Love),86,Unknown,516786,76
Nuevayol,Bad Bunny,NUEVAYoL,Bad Bunny,2025-01-05,DeBÍ TiRAR MáS FOToS,94,"reggaeton, trap latino, urbano latino, latin",95608573,100
Actin Up,Tommy Richman,ACTIN UP,Tommy Richman,2025-02-07,ACTIN UP,78,Unknown,892710,75
Tattoo,Tito Double P,TATTOO,Tito Double P,2025-02-27,TATTOO,91,"corrido, corridos tumbados, corridos bélicos, electro corridos, música mexicana",7329805,90
like JENNIE,JENNIE,like JENNIE,JENNIE,2025-03-07,Ruby,96,k-pop,10314088,88
Evil J0rdan,Playboi Carti,EVIL J0RDAN,Playboi Carti,2025-03-14,MUSIC,88,rage rap,14208808,92
Que Pasaria...,Rauw Alejandro & Bad Bunny,Qué Pasaría...,Rauw Alejandro,2024-11-15,Cosa Nuestra,91,"reggaeton, urbano latino, trap latino, latin",28586155,91
"Henry, Come On",Lana Del Rey,"Henry, come on",Lana Del Rey,2025-04-11,"Henry, come on",82,Unknown,47528833,92
Headlock,Imogen Heap,Headlock,Imogen Heap,2005,Speak for Yourself (Deluxe Version),90,Unknown,993371,79
Not At This Party,Dasha,Not At This Party,Dasha,2025-02-28,Not At This Party,75,Unknown,346050,72
Little Things,Ella Mai,Little Things,Ella Mai,2024-11-03,3,75,r&b,5974999,72
Dandelion,Ariana Grande,dandelion,Ariana Grande,2025-03-28,eternal sunshine deluxe: brighter days ahead,82,pop,105318787,94
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",Chappell Roan,2024-04-05,"Good Luck, Babe!",95,Unknown,6191414,86
Heart Of A Woman,Summer Walker,Heart Of A Woman,Summer Walker,2024-10-25,Heart Of A Woman,76,r&b,7630410,80
Back To Me,The Marias,Back To Me,The Marías,2025-04-04,Back To Me,83,bedroom pop,2773021,86
Emergence,Sleep Token,Emergence,Sleep Token,2025-03-13,Emergence,83,"progressive metal, metalcore",2341084,86
Intro (End Of The World),Ariana Grande,intro (end of the world) - extended,Ariana Grande,2025-03-28,eternal sunshine deluxe: brighter days ahead,81,pop,105318787,94
Hometown Home,LOCASH,Hometown Home,LOCASH,2024-04-19,Hometown Home,56,"country, country hip hop",381196,56
Khe?,Rauw Alejandro & Romeo Santos,Khé?,Rauw Alejandro,2024-11-15,Cosa Nuestra,88,"reggaeton, urbano latino, trap latino, latin",28586155,91
Bed Chem,Sabrina Carpenter,Bed Chem,Sabrina Carpenter,2024-08-23,Short n' Sweet,89,Unknown,22486575,91
Past Life,Ariana Grande,past life,Ariana Grande,2025-03-28,eternal sunshine deluxe: brighter days ahead,81,pop,105318787,94
Warm,Ariana Grande,warm,Ariana Grande,2025-03-28,eternal sunshine deluxe: brighter days ahead,81,pop,105318787,94
Hampstead,Ariana Grande,Hampstead,Ariana Grande,2025-03-28,eternal sunshine deluxe: brighter days ahead,81,pop,105318787,94
Vanish Mode,Lil Durk,Vanish Mode,Lil Durk,2025-03-28,Deep Thoughts,71,drill,8926060,83
This Town's Been Too Good To Us,Dylan Scott,This Town's Been Too Good To Us,Dylan Scott,2024-03-29,Livin' My Best Life (Still),72,country,1837945,70
Tweaker,GELO,Tweaker,GELO,2025-01-03,Tweaker,80,Unknown,166171,64
Shaking When I Pray,Lil Durk,Shaking When I Pray,Lil Durk,2025-03-28,Deep Thoughts,66,drill,8926060,83
Keep On Sippin',Lil Durk,Keep On Sippin',Lil Durk,2025-03-28,Deep Thoughts,66,drill,8926060,83
Too Sweet,Hozier,Too Sweet,Hozier,2024-08-19,Unreal Unearth: Unaired,87,Unknown,8775876,86
I'm Gonna Love You,Cody Johnson & Carrie Underwood,I'm Gonna Love You,Cody Johnson,2024-11-01,Leather Deluxe Edition,75,"texas country, country, red dirt",1742981,77
Just Us,Jack Harlow & Doja Cat,Just Us (feat. Doja Cat),Jack Harlow,2025-03-21,Just Us (feat. Doja Cat),79,Unknown,4200564,80
Good Credit,Playboi Carti & Kendrick Lamar,GOOD CREDIT (with Kendrick Lamar),Playboi Carti,2025-03-14,MUSIC,82,rage rap,14208808,92
Mona Lisa,j-hope,MONA LISA,j-hope,2025-03-21,MONA LISA,88,"k-pop, k-rap",18471144,80
How Does It Feel To Be Forgotten,Selena Gomez & benny blanco,How Does It Feel To Be Forgotten,Selena Gomez,2025-03-21,I Said I Love You First,81,pop,52551780,87
Crush,Playboi Carti & Travis Scott,CRUSH (with Travis Scott),Playboi Carti,2025-03-14,MUSIC,82,rage rap,14208808,92
Burning Down,Alex Warren,Burning Down (with Joe Jonas),Alex Warren,2024-12-06,Burning Down (with Joe Jonas),83,Unknown,1409280,86
I Ain't Sayin',Jordan Davis,I Ain't Sayin',Jordan Davis,2024-07-26,I Ain't Sayin',77,country,1515852,75
Like Weezy,Playboi Carti,LIKE WEEZY,Playboi Carti,2025-03-14,MUSIC,77,rage rap,14208808,92
Toxic,Playboi Carti & Skepta,TOXIC (with Skepta),Playboi Carti,2025-03-14,MUSIC,79,rage rap,14208808,92
Philly,Playboi Carti & Travis Scott,PHILLY (with Travis Scott),Playboi Carti,2025-03-14,MUSIC,81,rage rap,14208808,92
Push 2 Start,Tyla,PUSH 2 START,Tyla,2024-10-11,TYLA +,88,afrobeats,2957399,80
Sunset Blvd,Selena Gomez & benny blanco,Sunset Blvd,Selena Gomez,2025-03-19,I Said I Love You First,78,pop,52551780,87
Fine Shit,Playboi Carti,FINE SHIT,Playboi Carti,2025-03-14,MUSIC,78,rage rap,14208808,92
Voy A Llevarte Pa PR,Bad Bunny,VOY A LLeVARTE PA PR,Bad Bunny,2025-01-05,DeBÍ TiRAR MáS FOToS,93,"reggaeton, trap latino, urbano latino, latin",95608573,100
Mojo Jojo,Playboi Carti,MOJO JOJO,Playboi Carti,2025-03-14,MUSIC,77,rage rap,14208808,92
K Pop,Playboi Carti,K POP,Playboi Carti,2025-03-14,MUSIC,76,rage rap,14208808,92
Pop Out,Playboi Carti,POP OUT,Playboi Carti,2025-03-14,MUSIC,76,rage rap,14208808,92
Radar,Playboi Carti,RADAR,Playboi Carti,2025-03-14,MUSIC,76,rage rap,14208808,92
Trim,Playboi Carti & Future,TRIM (with Future),Playboi Carti,2025-03-14,MUSIC,77,rage rap,14208808,92
HBA,Playboi Carti,HBA,Playboi Carti,2025-03-14,MUSIC,79,rage rap,14208808,92
Charge Dem Hoes A Fee,"Playboi Carti, Future & Travis Scott",CHARGE DEM HOES A FEE (with Future & Travis Scott),Playboi Carti,2025-03-14,MUSIC,76,rage rap,14208808,92
Wake Up F1lthy,Playboi Carti & Travis Scott,WAKE UP F1LTHY (with Travis Scott),Playboi Carti,2025-03-14,MUSIC,78,rage rap,14208808,92
Jumpin,Playboi Carti & Lil Uzi Vert,JUMPIN (with Lil Uzi Vert),Playboi Carti,2025-03-14,MUSIC,75,rage rap,14208808,92
I Seeeeee You Baby Boi,Playboi Carti,I SEEEEEE YOU BABY BOI,Playboi Carti,2025-03-14,MUSIC,75,rage rap,14208808,92
Crank,Playboi Carti,CRANK,Playboi Carti,2025-03-14,MUSIC,77,rage rap,14208808,92
Twin Trim,Playboi Carti & Lil Uzi Vert,TWIN TRIM (with Lil Uzi Vert),Playboi Carti,2025-03-14,MUSIC,75,rage rap,14208808,92
Olympian,Playboi Carti,OLYMPIAN,Playboi Carti,2025-03-14,MUSIC,77,rage rap,14208808,92
Munyun,Playboi Carti,MUNYUN,Playboi Carti,2025-03-14,MUSIC,72,rage rap,14208808,92
We Need All Da Vibes,"Playboi Carti, Young Thug & Ty Dolla $ign",WE NEED ALL DA VIBES (with Young Thug & Ty Dolla $ign),Playboi Carti,2025-03-14,MUSIC,78,rage rap,14208808,92
OPM Babi,Playboi Carti,OPM BABI,Playboi Carti,2025-03-14,MUSIC,74,rage rap,14208808,92
Cocaine Nose,Playboi Carti,COCAINE NOSE,Playboi Carti,2025-03-14,MUSIC,75,rage rap,14208808,92
Dis 1 Got It,Playboi Carti,DIS 1 GOT IT,Playboi Carti,2025-03-14,MUSIC,71,rage rap,14208808,92
Overly,Playboi Carti,OVERLY,Playboi Carti,2025-03-14,MUSIC,72,rage rap,14208808,92
South Atlanta Baby,Playboi Carti,SOUTH ATLANTA BABY,Playboi Carti,2025-03-14,MUSIC,71,rage rap,14208808,92
Walk,Playboi Carti,WALK,Playboi Carti,2025-03-14,MUSIC,70,rage rap,14208808,92
Ms. Whitman,Bhad Bhabie,Ms. Whitman,Bhad Bhabie,2025-02-25,Ms. Whitman,81,Unknown,3815933,69
Who,Jimin,Who,Jimin,2024-07-19,MUSE,90,k-pop,10184695,83
Liar,Jelly Roll,Liar,Jelly Roll,2024-10-10,Beautifully Broken,82,"country hip hop, country",5443987,82
All The Stars,Kendrick Lamar & SZA,All The Stars (with SZA),Kendrick Lamar,2018-02-09,Black Panther The Album Music From And Inspired By,94,"hip hop, west coast hip hop",41258484,95
High Road,Koe Wetzel & Jessie Murph,High Road (feat. Jessie Murph),Koe Wetzel,2024-07-19,9 Lives,82,"red dirt, texas country, country, country rock",965100,74
Whatchu Kno About Me,GloRilla & Sexyy Red,WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla,2024-10-11,GLORIOUS,81,Unknown,2166651,79
Please Please Please,Sabrina Carpenter,Please Please Please,Sabrina Carpenter,2024-08-23,Short n' Sweet,88,Unknown,22486575,91
Garden Of Eden,Lady Gaga,Garden Of Eden,Lady Gaga,2025-03-07,MAYHEM,87,"art pop, pop",37989214,94
Vanish Into You,Lady Gaga,Vanish Into You,Lady Gaga,2025-03-07,MAYHEM,86,"art pop, pop",37989214,94
How Bad Do U Want Me,Lady Gaga,How Bad Do U Want Me,Lady Gaga,2025-03-07,MAYHEM,85,"art pop, pop",37989214,94
Disease,Lady Gaga,Disease,Lady Gaga,2025-03-07,MAYHEM,83,"art pop, pop",37989214,94
Fat Juicy & Wet,Sexyy Red & Bruno Mars,Fat Juicy & Wet,Sexyy Red,2025-01-24,Fat Juicy & Wet,79,Unknown,2083593,79
Handlebars,JENNIE & Dua Lipa,Handlebars (feat. Dua Lipa),JENNIE,2025-03-07,Ruby,86,k-pop,10314088,88
Perfect Celebrity,Lady Gaga,Perfect Celebrity,Lady Gaga,2025-03-07,MAYHEM,81,"art pop, pop",37989214,94
Zombieboy,Lady Gaga,Zombieboy,Lady Gaga,2025-03-07,MAYHEM,81,"art pop, pop",37989214,94
Proud Of Me,Fridayy & Meek Mill,Proud Of Me (feat. Meek Mill),Fridayy,2025-02-28,"Some Days I’m Good, Some Days I’m Not",65,Unknown,380009,69
LoveDrug,Lady Gaga,LoveDrug,Lady Gaga,2025-03-07,MAYHEM,80,"art pop, pop",37989214,94
Tu Boda,Oscar Maydon & Fuerza Regida,Tu Boda,Oscar Maydon,2024-09-26,Tu Boda,89,"corridos tumbados, corrido, corridos bélicos, electro corridos, sad sierreño, banda",5441876,84
ExtraL,JENNIE & Doechii,ExtraL (feat. Doechii),JENNIE,2025-03-07,Ruby,86,k-pop,10314088,88
Dear God,Tate McRae,Dear god,Tate McRae,2025-02-20,So Close To What,76,Unknown,7729327,90
Purple Lace Bra,Tate McRae,Purple lace bra,Tate McRae,2025-02-20,So Close To What,74,Unknown,7729327,90
Miss Possessive,Tate McRae,Miss possessive,Tate McRae,2025-02-21,So Close To What,80,Unknown,7729327,90
cLOUDs,J. Cole,cLOUDs,J. Cole,2025-02-21,cLOUDs,77,rap,26292892,86
CN Tower,PARTYNEXTDOOR & Drake,CN TOWER,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,79,r&b,9047142,87
Something About You,PARTYNEXTDOOR & Drake,SOMETHING ABOUT YOU,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,79,r&b,9047142,87
Twenties,Giveon,TWENTIES,GIVĒON,2025-02-07,TWENTIES,82,r&b,4724253,79
Deeper,PARTYNEXTDOOR,DEEPER,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,77,r&b,9047142,87
7 Dias,Gabito Ballesteros & Tito Double P,7 DIAS,Gabito Ballesteros,2025-01-30,7 DIAS,90,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda",5145432,83
Signs,Tate McRae,Signs,Tate McRae,2025-02-21,So Close To What,73,Unknown,7729327,90
2 Hands,Tate McRae,2 hands,Tate McRae,2025-02-21,So Close To What,77,Unknown,7729327,90
LV Bag,"Don Toliver, j-hope, Pharrell Williams & Speedy",LV Bag (feat. j-hope of BTS & Pharrell Williams),Don Toliver,2025-02-21,LV Bag (feat. j-hope of BTS & Pharrell Williams),78,Unknown,6684755,87
Moth Balls,PARTYNEXTDOOR & Drake,MOTH BALLS,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,75,r&b,9047142,87
Raining In Houston,Drake,RAINING IN HOUSTON,Drake,2025-02-14,$ome $exy $ongs 4 U,74,rap,98624704,97
Like I Do,Tate McRae,Like I do,Tate McRae,2025-02-24,So Close To What,71,Unknown,7729327,90
Spider-Man Superman,PARTYNEXTDOOR & Drake,SPIDER-MAN SUPERMAN,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,76,r&b,9047142,87
Pimmie's Dilemma,"Pimmie, PARTYNEXTDOOR & Drake",PIMMIE'S DILEMMA,Pimmie,2025-02-14,$ome $exy $ongs 4 U,75,Unknown,39796,60
Small Town Fame,Drake,SMALL TOWN FAME,Drake,2025-02-14,$ome $exy $ongs 4 U,74,rap,98624704,97
Greenlight,Tate McRae,Greenlight,Tate McRae,2025-02-21,So Close To What,73,Unknown,7729327,90
Crying In Chanel,Drake,CRYING IN CHANEL,Drake,2025-02-14,$ome $exy $ongs 4 U,73,rap,98624704,97
Brian Steel,Drake,BRIAN STEEL,Drake,2025-02-14,$ome $exy $ongs 4 U,72,rap,98624704,97
Lasers,PARTYNEXTDOOR & Drake,LASERS,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,71,r&b,9047142,87
Meet Your Padre,"PARTYNEXTDOOR, Drake & Chino Pacas",MEET YOUR PADRE,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,71,r&b,9047142,87
Celibacy,PARTYNEXTDOOR & Drake,CELIBACY,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,71,r&b,9047142,87
15 Minutes,Sabrina Carpenter,15 Minutes,Sabrina Carpenter,2025-02-14,Short n' Sweet (Deluxe),85,Unknown,22486575,91
Greedy,PARTYNEXTDOOR & Drake,GREEDY,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,73,r&b,9047142,87
